Name	Color	Rarity	#Seen	ALSA	#Picked	ATA	#GP	GPWR	#OH	OHWR	#GD	GDWR	#GIH	#GND	GNDWR	IWD
W	C	98859	6.19	14764	8.99	32375	56.7%	5123	52.9%	7802	55.9%	12925	54.7%	19452	58.1%	-3.3pp
G	C	93660	5.61	13136	8.16	46650	55.3%	8465	53.8%	11780	55.4%	20245	54.7%	26416	55.8%	-1.1pp
B	R	4054	2.08	1603	2.11	7201	54.7%	1215	52.5%	1840	56.1%	3055	54.7%	4147	54.7%	-0.0pp
B	C	107201	7.47	14140	10.85	16534	55.7%	2597	51.9%	4138	56.3%	6735	54.6%	9801	56.4%	-1.8pp
G	R	5914	2.94	1636	3.31	6475	55.0%	1053	53.2%	1636	55.5%	2689	54.6%	3786	55.3%	-0.7pp
B	C	106596	7.20	15349	10.20	21941	55.6%	3668	53.3%	5262	55.3%	8930	54.5%	13020	56.4%	-1.9pp
B	C	104549	6.94	13523	10.24	20779	55.1%	3232	54.2%	5181	54.5%	8413	54.4%	12371	55.6%	-1.2pp
R	U	21526	3.69	5226	4.69	22603	56.6%	3690	54.1%	4979	54.5%	8669	54.3%	13936	58.1%	-3.7pp
U	C	97092	6.51	10028	9.68	21141	52.9%	3818	54.4%	5535	54.2%	9353	54.3%	11793	51.9%	2.4pp
U	U	32448	5.53	4734	7.99	16733	54.0%	3006	54.2%	4223	54.3%	7229	54.3%	9507	53.7%	0.5pp
G	U	28166	5.12	3418	7.54	7891	52.8%	1410	56.5%	1847	52.6%	3257	54.3%	4636	51.7%	2.5pp
W	R	4716	2.36	1668	2.55	6508	56.4%	1159	56.5%	1525	52.5%	2684	54.2%	3824	57.9%	-3.7pp
A       C	96596	5.68	16691	8.06	45215	54.3%	8684	53.5%	11212	54.7%	19896	54.2%	25329	54.4%	-0.2pp
U	U	29641	5.32	3709	7.82	10042	53.1%	1622	50.1%	2847	56.4%	4469	54.1%	5577	52.4%	1.7pp
B	R	10073	4.58	1456	6.85	2288	55.4%	421	52.0%	559	55.6%	980	54.1%	1308	56.4%	-2.3pp
U	R	5450	2.50	1645	2.75	6083	52.5%	1068	52.4%	1680	55.1%	2748	54.0%	3337	51.2%	2.9pp
G	R	6678	3.28	1138	4.15	3512	53.6%	576	52.6%	896	54.8%	1472	53.9%	2040	53.4%	0.5pp
G	C	99430	6.53	11100	9.90	20874	55.0%	3716	55.6%	5228	52.7%	8944	53.9%	11931	55.8%	-1.8pp
R	C	96047	5.80	12816	8.55	37122	55.5%	5856	51.7%	8432	55.4%	14288	53.9%	22838	56.5%	-2.6pp
G	C	109777	8.18	13555	11.64	9955	53.9%	1692	52.1%	2546	55.0%	4238	53.8%	5719	53.9%	-0.0pp
B	M	2302	2.26	724	2.37	2543	52.1%	408	50.7%	688	55.7%	1096	53.8%	1448	50.8%	3.1pp
UG	U	26704	4.96	3850	6.89	10172	52.6%	1704	52.1%	2721	54.9%	4425	53.8%	5748	51.7%	2.1pp
U	C	108465	8.00	10372	11.80	8594	52.1%	1394	50.6%	2372	55.4%	3766	53.6%	4828	50.9%	2.7pp
B	U	32883	5.88	4498	8.66	7798	54.6%	1244	53.3%	1912	53.8%	3156	53.6%	4645	55.3%	-1.7pp
G	C	108563	7.82	14259	10.99	16279	54.3%	2970	53.7%	4060	53.4%	7030	53.5%	9251	54.9%	-1.4pp
B	C	107795	7.61	13346	11.13	9848	54.4%	1538	49.0%	2536	56.1%	4074	53.4%	5776	55.1%	-1.8pp
B	C	104794	7.11	12973	10.46	15735	53.7%	2722	51.1%	3897	54.8%	6619	53.3%	9117	53.9%	-0.6pp
RG	U	22999	4.11	3361	5.71	10783	52.7%	1762	52.8%	2664	53.5%	4426	53.3%	6359	52.3%	1.0pp
B	U	27596	4.79	4468	6.96	12670	54.7%	2107	50.9%	3164	54.8%	5271	53.2%	7401	55.8%	-2.6pp
U	U	31232	5.77	4072	8.32	9798	52.9%	1688	50.4%	2749	55.0%	4437	53.2%	5363	52.6%	0.6pp
G	U	33316	6.01	3645	9.28	4817	53.9%	789	52.7%	1210	53.5%	1999	53.2%	2818	54.5%	-1.3pp
R	C	95008	5.76	13657	8.36	43175	55.5%	7003	53.0%	9765	53.3%	16768	53.2%	26413	56.9%	-3.7pp
R	C	109239	8.02	12917	11.48	11131	56.0%	1761	52.5%	2332	53.6%	4093	53.1%	7039	57.7%	-4.6pp
R	C	101813	6.50	11528	9.78	22225	54.2%	3687	52.0%	4922	53.9%	8609	53.1%	13620	54.8%	-1.7pp
G	R	5261	2.63	1270	2.94	4175	51.9%	680	48.7%	1046	55.9%	1726	53.1%	2450	51.0%	2.1pp
G	R	5970	2.95	1193	3.59	3367	54.6%	576	51.4%	875	54.2%	1451	53.1%	1916	55.7%	-2.7pp
G	U	35851	6.93	4132	10.30	3297	52.8%	511	48.5%	833	55.8%	1344	53.1%	1953	52.6%	0.5pp
U	C	106279	7.64	12093	11.08	12797	51.8%	2009	50.6%	3593	54.2%	5602	52.9%	7203	50.9%	2.0pp
